,artist_name,artist_id,artist_popularity,artist_genre
33,Arijit Singh,4YRxDV8wJFPHPTeXepOstw,87,"['filmi', 'modern bollywood']"
34,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,75,"['escape room', 'hip hop', 'indie soul', 'neo soul']"
35,Avicii,1vCWHaC5f2uS3yhpwWbIA6,79,"['dance pop', 'edm', 'pop', 'pop dance']"
36,Julión Álvarez y su Norteño Banda,1bfl0AU8SqmLkElptOprhC,80,"['banda', 'musica mexicana', 'norteno', 'sad sierreno', 'sierreno']"
37,AURORA,1WgXqy2Dd70QQOU7Ay074N,71,"['art pop', 'norwegian pop']"
38,Action Bronson,7BMccF0hQFBpP6417k1OtQ,61,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'nyc rap', 'queens hip hop']"
39,Arcángel,4SsVbpTthjScTS7U2hmr1X,81,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
40,Autumn!,5delTPpDAtBDsjk60f5xnt,62,"['emoplugg', 'glitchcore', 'plugg', 'pluggnb']"
41,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,75,['pop']
42,Outkast,1G9G7WwrXka3Z1r7aIDjI7,73,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']"
43,Daryl Hall & John Oates,77tT1kLj6mCWtFNqiOmP9H,74,"['album rock', 'classic rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']"
44,Aphex Twin,6kBDZFXuLrZgHnvmPu9NsG,63,"['ambient', 'braindance', 'electronica', 'intelligent dance music', 'uk experimental electronic']"
45,Alex Warren,0fTSzq9jAh4c36UVb4V7CB,69,"['gen z singer-songwriter', 'singer-songwriter pop']"
46,Alan Jackson,4mxWe1mtYIYfP040G38yvS,71,['country']
47,Andrew Underberg,4zXroEby35IgWPERRcW4Ay,74,[]
48,Ayesha Erotica,7M5pDtJpCdnftEQZtczYco,68,[]
49,Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,77,"['glam metal', 'hard rock', 'rock']"
